Model,MAE ?,Corr ?,Acc-2 ?,F1-2 ?,Acc-7 ?,F1-7 ?
AHGR-Net_Direct_Full,0.6908,0.5682,0.7602,0.7547,0.4511,0.2592
AHGR-Net_Ensemble_Top4,0.65,0.6417,0.7941,0.7921,0.4625,0.2654
AHGR-Net_Ensemble_Top6,0.6433,0.6487,0.7949,0.7926,0.4634,0.2678
